timestamp,user_id,url,request_type,status_code,user_agent
2025-01-01T00:00:00,164.57.12.190,/privacy,GET,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0
2025-01-01T00:00:01,60.51.194.72,/login,GET,200,Mozilla/5.0 (X11; Linux x86_64) Firefox/121.0
2025-01-01T00:00:02,25.220.181.109,/users/8797c70e,POST,404,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148
2025-01-01T00:00:03,71.125.114.36,/items/c1cbbfd4,POST,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0
2025-01-01T00:00:04,71.125.114.36,/categories/775aad37,GET,200,Mozilla/5.0 (iPad; CPU OS 17_0) AppleWebKit/605.1.15
2025-01-01T00:00:05,109.16.15.24,/,GET,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1
2025-01-01T00:00:06,229.195.229.223,/items/3699568a,GET,400,Mozilla/5.0 (iPad; CPU OS 17_0) AppleWebKit/605.1.15
2025-01-01T00:00:07,25.220.181.109,/users/11dbb84e,POST,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0
2025-01-01T00:00:08,164.57.12.190,/api/users,POST,400,Mozilla/5.0 (X11; Linux x86_64) Firefox/121.0
2025-01-01T00:00:09,151.142.3.195,/help,GET,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0
2025-01-01T00:00:10,63.44.142.226,/,GET,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1
2025-01-01T00:00:11,160.51.37.138,/,DELETE,200,Mozilla/5.0 (X11; Linux x86_64) Firefox/121.0
2025-01-01T00:00:12,84.28.117.211,/items/60dc88f5,PUT,201,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0
2025-01-01T00:00:13,91.107.136.180,/products,POST,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0
2025-01-01T00:00:14,114.212.139.56,/users/06e7a9ac,GET,200,Mozilla/5.0 (iPad; CPU OS 17_0) AppleWebKit/605.1.15
2025-01-01T00:00:15,118.63.193.21,/search,GET,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0
2025-01-01T00:00:16,164.57.12.190,/,POST,304,Mozilla/5.0 (X11; Linux x86_64) Firefox/121.0
2025-01-01T00:00:17,164.57.12.190,/register,GET,304,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148
2025-01-01T00:00:18,25.20.158.202,/posts/8462735c,GET,201,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0
2025-01-01T00:00:19,202.160.223.156,/items/c1cbbfd4,GET,200,Mozilla/5.0 (iPad; CPU OS 17_0) AppleWebKit/605.1.15
2025-01-01T00:00:20,89.135.22.187,/search,GET,304,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148
2025-01-01T00:00:21,207.81.216.88,/,GET,304,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0
2025-01-01T00:00:22,166.153.234.81,/products/3c4234a5,GET,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1
2025-01-01T00:00:23,32.196.179.247,/products/cbb6664a,GET,200,Mozilla/5.0 (iPad; CPU OS 17_0) AppleWebKit/605.1.15
2025-01-01T00:00:24,164.57.12.190,/,GET,200,Mozilla/5.0 (iPad; CPU OS 17_0) AppleWebKit/605.1.15
2025-01-01T00:00:25,186.76.170.21,/logout,GET,200,Mozilla/5.0 (X11; Linux x86_64) Firefox/121.0
2025-01-01T00:00:26,109.16.15.24,/,POST,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0
2025-01-01T00:00:27,164.57.12.190,/home,GET,200,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148
2025-01-01T00:00:28,142.150.185.148,/,GET,200,Mozilla/5.0 (X11; Linux x86_64) Firefox/121.0
2025-01-01T00:00:29,161.81.216.153,/register,GET,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1
2025-01-01T00:00:30,164.57.12.190,/home,GET,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0
2025-01-01T00:00:31,187.125.83.119,/about,GET,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1
2025-01-01T00:00:32,240.36.87.137,/blog,GET,200,Mozilla/5.0 (X11; Linux x86_64) Firefox/121.0
2025-01-01T00:00:33,18.169.160.170,/posts/c2e6c8e2,GET,404,Mozilla/5.0 (iPad; CPU OS 17_0) AppleWebKit/605.1.15
2025-01-01T00:00:34,187.125.83.119,/profile,GET,200,Mozilla/5.0 (iPad; CPU OS 17_0) AppleWebKit/605.1.15
2025-01-01T00:00:35,164.57.12.190,/api/users,GET,201,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1
2025-01-01T00:00:36,151.117.112.2,/,GET,400,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0
2025-01-01T00:00:37,10.97.146.92,/products/dd690c3f,GET,500,Mozilla/5.0 (iPad; CPU OS 17_0) AppleWebKit/605.1.15
2025-01-01T00:00:38,50.151.116.93,/categories/2fef9529,GET,200,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148
2025-01-01T00:00:39,118.63.193.21,/,GET,200,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148
2025-01-01T00:00:40,71.125.114.36,/users/bde4cb93,GET,200,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148
2025-01-01T00:00:41,175.127.52.91,/services,GET,304,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1
2025-01-01T00:00:42,60.61.98.81,/,GET,200,Mozilla/5.0 (iPad; CPU OS 17_0) AppleWebKit/605.1.15
2025-01-01T00:00:43,56.119.13.144,/api/products,PUT,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1
2025-01-01T00:00:44,149.188.242.142,/home,GET,404,Mozilla/5.0 (iPad; CPU OS 17_0) AppleWebKit/605.1.15
2025-01-01T00:00:45,17.108.161.55,/products/b70ee67b,GET,404,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148
2025-01-01T00:00:46,80.203.245.135,/,GET,400,Mozilla/5.0 (iPad; CPU OS 17_0) AppleWebKit/605.1.15
2025-01-01T00:00:47,207.81.216.88,/,GET,200,Mozilla/5.0 (X11; Linux x86_64) Firefox/121.0
2025-01-01T00:00:48,164.57.12.190,/settings,GET,200,Mozilla/5.0 (iPad; CPU OS 17_0) AppleWebKit/605.1.15
2025-01-01T00:00:49,50.35.23.170,/services,GET,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0
2025-01-01T00:00:50,164.57.12.190,/products/b70ee67b,GET,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0
2025-01-01T00:00:51,68.202.67.172,/home,GET,200,Mozilla/5.0 (iPad; CPU OS 17_0) AppleWebKit/605.1.15
2025-01-01T00:00:52,142.150.185.148,/,GET,200,Mozilla/5.0 (X11; Linux x86_64) Firefox/121.0
2025-01-01T00:00:53,151.142.3.195,/,POST,304,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1
2025-01-01T00:00:54,164.57.12.190,/contact,GET,200,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0) Mobile/15E148
